Код;Наименование;Ед изм;Базовая цена;Фаза;Раздел;Подраздел
1–137;Устройство перемычки над дверным проемом возводимых стен;шт;625.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–138;Устройство проема;изд;1250.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–139;Устройство проема в 1/5 кирпичной кладке;м.п.;2125.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–140;Устройство проема в бетонной стене;м2;2625.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–141;Устройство проема в бетонной стене толщиной 14 см;м2;1440.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–142;Устройство проема в бетонной стене толщиной 18 см;м2;1750.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–143;Устройство проема в блочной, пгп стене до 100 мм.;м.п.;750.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–144;Устройство проема в гипсобетонных стенах;м2;640.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–145;Устройство проема в кирпичной стене;м2;1875.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–146;Устройство проема в пенобетонных стенах;м2;1000.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–147;Устройство проема в стене из армированного бетона толщиной 14 см;м2;1440.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–148;Устройство проема в стене из армированного бетона толщиной 18 см;м2;1750.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–149;Устройство проемов при кладке стен;шт;440.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–150;Устройство проемов при кладке стен;шт;390.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
